alpha,beta,ants,p_ants,tau,evap_rate,inten,q,best_res,mean_res,std_res,best_time,mean_time,best_iter,mean_iter
3,8,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,2773.0,2924.2,83.6693492266,8.441760778427124,11.9635622025,74.0,105.0
1,1,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,4490.0,4589.6,81.0298710353,11.96028733253479,12.8463534355,99.0,106.4
1,1,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,3839.0,3975.8,97.4338750127,20.63727569580078,21.2678517342,159.0,164.0
1,1,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,4266.0,4543.6,250.939514625,14.94455623626709,13.6968050957,121.0,110.2
1,1,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,5182.0,5457.0,242.94690778,10.227223634719849,9.40436038971,80.0,73.6
1,1,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,4310.0,4659.4,215.994073993,13.34914231300354,12.7287491322,108.0,102.8
1,1,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,3734.0,3888.4,90.0257740872,20.176166534423828,23.2847409725,184.0,212.2
1,0,10,1,5,0.21899241832077188,1.5618197305442696,0.16453834031103237,8662.0,8932.6,300.444737015,47.68407416343689,44.6845448494,400.0,375.4
1,0,10,1,3,0.17323930886422506,1.79388386269662,0.06529522007837861,10814.0,11676.6,479.338127004,50.91714072227478,50.9371640682,400.0,400.0
1,0,10,1,5,0.2146567461134442,2.2340148522300542,0.1269942066414017,8863.0,9328.2,377.267226247,48.71308183670044,48.7644122601,400.0,400.0
1,0,10,1,5,0.33943179754971586,1.2059269699983632,0.08754572408093146,10362.0,10873.4,336.359093827,25.187325477600098,22.7048885822,200.0,180.2
1,0,10,1,6,0.24872647038074452,1.5866923604134855,0.12948732896519988,8308.0,8873.2,571.25875048,48.58682870864868,44.5138573647,400.0,365.4
1,0,10,1,8,0.11945787678391584,1.3149329310190492,0.27906472268530885,8962.0,9425.0,437.786249213,43.579795837402344,43.4698003769,400.0,400.0
